plate_dr12q,mjd_dr12q,fiberid_dr12q,ra_dr12q,dec_dr12q,plate_dr16q,mjd_dr16q,fiberid_dr16q,ra_dr16q,dec_dr16q,separation
4541,55882,775,9.489322144268215,7.718603088681898,11046,58398,723,9.489322150334146,7.7186030815834625,3.348572208531306E-5
4221,55443,930,9.542896732687666,0.5370935441884268,7868,57006,850,9.54289673419089,0.53709355260978,3.079603204711243E-5
4304,55506,654,9.58463127430889,2.2008135138047464,7855,57011,998,9.584631279813152,2.200813500418592,5.20995184577755E-5
4369,55827,334,9.77272536938942,-3.2730190930125764,7904,57358,858,9.772725353999093,-3.2730191097107366,8.169054618756681E-5
7040,56574,722,9.994693867220093,-4.151363263213861,9340,57716,279,9.99469428516467,-4.151362040227706,0.004651469433582046
6188,56208,128,10.01576523673566,20.75679180932684,7616,56902,692,10.01576519856934,20.756791791839603,1.4307510811582534E-4
6252,56248,813,10.023340072156543,29.800881789701965,7718,57362,474,10.023340049498017,29.800881782739037,7.509094663318203E-5
6202,56266,342,10.469496246440372,12.558000223592733,11042,58462,415,10.469496242620721,12.558000221173002,1.600081602353662E-5
4370,55534,545,10.730299744454328,-1.4271807088678106,9408,58077,341,10.73029973860119,-1.4271807180635996,3.923843301639837E-5
4543,55888,383,10.8119645180808,6.592009106842797,11046,58398,2,10.811964525572876,6.592009097684677,4.248345292716369E-5
6198,56211,102,11.073331329686312,16.151602483166986,11040,58456,291,11.073331270250492,16.151602451457393,2.3509810211984239E-4
4543,55888,286,11.46950135429347,7.2365058987261035,11054,58424,575,11.46950135899192,7.236505883455635,5.747750790556973E-5
4305,55509,686,11.510888387160492,4.262379118659163,9446,58082,985,11.510888395765676,4.262379126769647,4.2507461330393E-5
6285,56248,104,11.518968417891301,23.856044546771127,7672,57339,22,11.518968417164785,23.85604454641044,2.7217107492036873E-6
6203,56266,366,11.715273833917479,14.397754890802705,11042,58462,825,11.715273822447728,14.397754883234123,4.8393542034815824E-5
6204,56220,560,11.773439682866808,17.84803995800224,7618,56898,260,11.773439663889576,17.848039948417547,7.361723671494429E-5
4546,55835,510,12.529372936763991,7.87418958254642,11054,58424,790,12.529372939877987,7.87418957276522,3.6921834845429266E-5
4223,55451,922,12.810827323107333,0.31149007503383835,7872,57279,518,12.810827320660678,0.3114900709535244,1.7127415097854822E-5
4420,55883,198,12.972029906214667,5.379671020198949,8752,58402,301,12.972029905268109,5.379671009529644,3.855903648880998E-5
5702,56221,550,12.97707517043898,19.60240593945197,7619,56900,222,12.977075173031778,19.60240594069363,9.864040633106647E-6
6288,56192,712,12.993736046473714,24.84294131310387,7675,57327,718,12.993736059951289,24.842941308006846,4.7699968100986276E-5
4306,55584,926,13.028989060168215,2.6444902852556114,7857,57278,838,13.028989061588106,2.6444902818455023,1.3295968260333732E-5
5702,56221,592,13.049633732810207,19.48477953420828,7619,56900,255,13.049633726537877,19.484779531197965,2.388700466772445E-5
4308,55565,540,13.147870513169607,2.1689206135373285,7857,57278,854,13.147870518213495,2.1689206012699174,4.774497422958676E-5
5702,56221,640,13.327657076147887,19.381890875791278,7619,56900,175,13.327656964908385,19.381890822198585,4.241831589890292E-4
4371,55830,268,13.39981627161886,-2.8564660996722195,7912,57310,542,13.39981625672631,-2.8564661157070406,7.873659037756723E-5
5701,55949,484,13.90702273091074,23.97432868884319,7675,57327,72,13.907022747275562,23.974328682200035,5.8904119706609436E-5
4308,55565,694,13.987527119805804,2.2630863873909055,7858,57281,531,13.987527132273499,2.2630863631856832,9.800293771287252E-5
4546,55835,168,14.326045145124283,6.5273028307602585,8752,58402,981,14.326045153599978,6.527302820385693,4.8102881969065964E-5
4307,55531,811,14.374223013810706,4.412433051420108,8753,57373,731,14.374223006981765,4.412433043893779,3.653672208574207E-5
4372,55541,302,14.96205255287937,-3.4875560750322725,7912,57310,854,14.962052560825995,-3.487556061957093,5.505475824498555E-5
5702,56221,32,14.980083861194657,18.339774228804593,7623,56901,148,14.98008383798367,18.33977421592554,9.187272448520763E-5
4225,55455,802,15.382653061011979,0.34505576910178315,7874,57279,512,15.382653062242682,0.3450557724801286,1.2943886252207058E-5
4372,55541,206,15.493295772971209,-2.86898860937744,7912,57310,952,15.493295739244815,-2.8689886456848313,1.7829440264653621E-4
5120,55895,365,15.657843381186353,21.601493356953355,7620,56904,21,15.657843355188334,21.601493345509475,9.627915190994753E-5
5120,55895,650,15.86384766459679,23.168708387138782,7625,57011,550,15.863847623692209,23.16870836946226,1.495904406215917E-4
6255,56240,766,16.104244597683532,27.085933074305068,7677,57363,170,16.104244545436586,27.085933058236837,1.7716957834592863E-4
4309,55528,729,16.166892681525155,4.33332935926581,8756,57687,652,16.16689268087839,4.333329358552177,3.462714668937899E-6
