plate_dr12q,mjd_dr12q,fiberid_dr12q,ra_dr12q,dec_dr12q,ra_dr16q,dec_dr16q,plate_dr16q,mjd_dr16q,fiberid_dr16q,separation
4416,55828,912,3.9609172404133233,6.895820264442221,3.960917250121497,6.895820250911411,8744,58124,906,5.980474602389886E-5
7128,56567,498,4.449513865388951,30.632419625722086,4.449512185051617,30.632418116993296,7742,58076,585,0.007522839598772115
4219,55480,599,4.478449135745848,0.7121289509203235,4.478449130890567,0.7121289429109572,7864,56979,755,3.371723492509068E-5
4537,55806,262,4.8563128742769095,6.99839069489415,4.856312877926484,6.998390689810737,8746,58396,622,2.2471255154478006E-5
6175,56265,826,4.91636183626963,22.30686382986672,4.916361838762327,22.30686383093021,7591,56954,608,9.142415617020571E-6
6175,56265,856,5.087002359279552,21.489474736520357,5.087002351407591,21.48947473304599,7591,56954,342,2.9185108731117062E-5
4219,55480,746,5.3662020325703566,1.0722966034792991,5.366202028311989,1.0722965965312594,7854,56989,326,2.933560610970389E-5
4299,55827,952,5.5370259630808505,4.539302033924686,5.537025967345244,4.539302038612099,9444,58073,805,2.2780627964711523E-5
7128,56567,848,6.325524731738028,30.98986262345137,6.325517265465464,30.989861137651612,7741,58078,256,0.02365458108403167
7037,56570,966,6.382711059067759,-4.261456598897967,6.382709088839178,-4.261456322073049,9341,57743,363,0.0071430737930807875
7037,56570,972,6.423257145295452,-4.474998169147378,6.423259133150168,-4.474996990622393,9341,57743,370,0.00830065963075458
4417,55829,910,6.553191301153674,6.543255288879771,6.553191307357736,6.543255281297125,8746,58396,924,3.51782980494489E-5
6274,56550,672,6.7196525022517335,29.20384605772436,6.719652498712151,29.203846056027817,7742,58076,12,1.268930860917075E-5
6281,56295,797,7.233369511089279,25.959346574756772,7.233369504783241,25.959346572572855,7660,57357,618,2.1873073260484666E-5
4221,55443,552,7.54908908292785,0.7972193628381238,7.549089082493693,0.7972193472230059,7855,57011,386,5.623614400396606E-5
6283,56239,365,7.737881368280398,22.300614032598588,7.737881373575419,22.30061403485576,7615,56977,400,1.94182716428303E-5
4302,55531,150,8.400206378792372,1.6475179071773385,8.400206378169427,1.647517890992679,9442,58076,304,5.8307880954158454E-5
4302,55531,902,8.658450555646255,3.3786594266988104,8.658450563465294,3.378659408396838,9447,58077,260,7.162889531914861E-5
6193,56237,582,8.772286808989008,19.223962136024674,8.77228677782,19.22396212093399,7588,56903,670,1.1906760812792061E-4
6252,56248,304,8.928129666127347,29.505177789493157,8.928129652649943,29.505177786303506,7714,57363,151,4.3759757843269813E-5
6283,56239,88,9.282782037422066,22.8657647180289,9.282782001198598,22.865764702226976,7615,56977,898,1.3294295245983687E-4
6283,56239,922,9.30686769703334,24.18932337091376,9.306867674016814,24.18932336207924,7672,57339,394,8.200288701303537E-5
4541,55882,775,9.489322144268215,7.718603088681898,9.489322150334146,7.7186030815834625,11046,58398,723,3.348572208531306E-5
4221,55443,930,9.542896732687666,0.5370935441884268,9.54289673419089,0.53709355260978,7868,57006,850,3.079603204711243E-5
4304,55506,654,9.58463127430889,2.2008135138047464,9.584631279813152,2.200813500418592,7855,57011,998,5.20995184577755E-5
4369,55827,334,9.77272536938942,-3.2730190930125764,9.772725353999093,-3.2730191097107366,7904,57358,858,8.16905461875668E-5
7040,56574,722,9.994693867220093,-4.151363263213861,9.99469428516467,-4.151362040227706,9340,57716,279,0.004651469433582046
6188,56208,128,10.01576523673566,20.75679180932684,10.01576519856934,20.756791791839603,7616,56902,692,1.4307510811582534E-4
6252,56248,813,10.023340072156543,29.800881789701965,10.023340049498017,29.800881782739037,7718,57362,474,7.509094663318204E-5
6202,56266,342,10.469496246440372,12.558000223592733,10.469496242620721,12.558000221173002,11042,58462,415,1.6000816023536618E-5
4370,55534,545,10.730299744454328,-1.4271807088678106,10.73029973860119,-1.4271807180635996,9408,58077,341,3.923843301639837E-5
4543,55888,383,10.8119645180808,6.592009106842797,10.811964525572876,6.592009097684677,11046,58398,2,4.248345292716369E-5
6198,56211,102,11.073331329686312,16.151602483166986,11.073331270250492,16.151602451457393,11040,58456,291,2.3509810211984239E-4
4543,55888,286,11.46950135429347,7.2365058987261035,11.46950135899192,7.236505883455635,11054,58424,575,5.747750790556973E-5
4305,55509,686,11.510888387160492,4.262379118659163,11.510888395765676,4.262379126769647,9446,58082,985,4.2507461330393E-5
6285,56248,104,11.518968417891301,23.856044546771127,11.518968417164785,23.85604454641044,7672,57339,22,2.7217107492036873E-6
6203,56266,366,11.715273833917479,14.397754890802705,11.715273822447728,14.397754883234123,11042,58462,825,4.8393542034815824E-5
6204,56220,560,11.773439682866808,17.84803995800224,11.773439663889576,17.848039948417547,7618,56898,260,7.361723671494429E-5
6204,56220,434,11.836023468913481,16.650584881225253,11.836023455415216,16.650584874114358,11040,58456,150,5.313004424715937E-5
4223,55451,922,12.810827323107333,0.31149007503383835,12.810827320660678,0.3114900709535244,7872,57279,518,1.7127415097854822E-5
4420,55883,198,12.972029906214667,5.379671020198949,12.972029905268109,5.379671009529644,8752,58402,301,3.855903648880998E-5
5702,56221,550,12.97707517043898,19.60240593945197,12.977075173031778,19.60240594069363,7619,56900,222,9.864040633106647E-6
6288,56192,712,12.993736046473714,24.84294131310387,12.993736059951289,24.842941308006846,7675,57327,718,4.7699968100986276E-5
5702,56221,592,13.049633732810207,19.48477953420828,13.049633726537877,19.484779531197965,7619,56900,255,2.3887004667724446E-5
4308,55565,540,13.147870513169607,2.1689206135373285,13.147870518213495,2.1689206012699174,7857,57278,854,4.774497422958676E-5
5702,56221,640,13.327657076147887,19.381890875791278,13.327656964908385,19.381890822198585,7619,56900,175,4.241831589890292E-4
4371,55830,268,13.39981627161886,-2.8564660996722195,13.39981625672631,-2.8564661157070406,7912,57310,542,7.873659037756723E-5
4308,55565,694,13.987527119805804,2.2630863873909055,13.987527132273499,2.2630863631856832,7858,57281,531,9.800293771287252E-5
4546,55835,168,14.326045145124283,6.5273028307602585,14.326045153599978,6.527302820385693,8752,58402,981,4.8102881969065964E-5
4307,55531,811,14.374223013810706,4.412433051420108,14.374223006981765,4.412433043893779,8753,57373,731,3.653672208574207E-5
4372,55541,302,14.96205255287937,-3.4875560750322725,14.962052560825995,-3.487556061957093,7912,57310,854,5.505475824498555E-5
5702,56221,32,14.980083861194657,18.339774228804593,14.98008383798367,18.33977421592554,7623,56901,148,9.187272448520763E-5
4372,55541,206,15.493295772971209,-2.86898860937744,15.493295739244815,-2.8689886456848313,7912,57310,952,1.7829440264653621E-4
5120,55895,365,15.657843381186353,21.601493356953355,15.657843355188334,21.601493345509475,7620,56904,21,9.627915190994753E-5
5120,55895,650,15.86384766459679,23.168708387138782,15.863847623692209,23.16870836946226,7625,57011,550,1.495904406215917E-4
6255,56240,766,16.104244597683532,27.085933074305068,16.104244545436586,27.085933058236837,7677,57363,170,1.7716957834592863E-4
4309,55528,729,16.166892681525155,4.33332935926581,16.16689268087839,4.333329358552177,8756,57687,652,3.462714668937899E-6
4550,55894,212,16.29854648310163,7.114621445752041,16.29854648863852,7.11462142776517,11072,58436,540,6.770627018898327E-5
4373,55811,572,16.307770599273752,-2.015244614391237,16.30777060168353,-2.0152446118376353,7873,57307,111,1.2636326164190194E-5
4225,55455,964,16.43133881947091,0.6677402464701055,16.431338819489667,0.6677402448620311,9392,58104,564,5.789462144410474E-6
6255,56240,78,17.105817469236854,26.704988123237985,17.10581743779028,26.70498811316327,7679,57367,716,1.0743896923098411E-4
4554,56193,494,17.208159824913025,7.286782427703799,17.208159833449827,7.2867824175385065,11072,58436,735,4.762866474700013E-5
4373,55811,806,17.383078430871777,-1.9482782524149762,17.383078443546495,-1.9482782389877105,7875,56980,435,6.645430735038344E-5
4423,55889,215,17.399827777976554,5.855266412428288,17.399827768204432,5.855266403598628,8757,58428,433,4.7277125557866074E-5
